Future,Close
49227.3,48200.10
48200.1,47666.90
47666.9,48146.00
48146,43823.30
43823.3,41536.80
41536.8,41022.30
41022.3,42172.60
42172.6,43203.40
43203.4,42686.80
42686.8,42819.90
42819.9,44869.20
44869.2,43551.60
43551.6,40651.30
40651.3,42870.60
42870.6,47238.70
47238.7,48306.70
48306.7,47282.80
47282.8,47748.00
47748,48130.60
48130.6,47077.50
47077.5,44949.50
44949.5,46062.30
46062.3,45161.90
45161.9,44842.80
44842.8,46385.60
46385.6,46061.40
46061.4,46779.60
46779.6,52672.10
52672.1,51768.60
51768.6,49918.40
49918.4,49999.00
49999,49274.30
49274.3,48819.40
48819.4,47130.40
47130.4,46992.70
46992.7,48777.40
48777.4,48897.10
48897.1,49064.30
49064.3,46831.60
46831.6,48994.50
48994.5,47714.70
47714.7,49539.70
49539.7,49254.50
49254.5,48875.80
48875.8,49324.00
49324,46755.90
46755.9,44723.80
44723.8,44691.60
44691.6,45996.30
45996.3,46991.30
46991.3,47081.50
47081.5,47809.10
47809.1,44403.40
44403.4,45564.30
45564.3,45593.80
45593.8,46284.30
46284.3,43792.80
43792.8,44614.20
44614.2,42795.40
42795.4,40867.20
40867.2,39736.90
39736.9,38130.30
38130.3,39168.40
39168.4,39878.30
39878.3,41553.70
41553.7,42203.40
42203.4,40001.40
40001.4,40003.20
40003.2,39452.00
39452,37276.60
37276.6,35391.10
35391.1,33824.80
33824.8,33603.30
33603.3,32298.90
32298.9,32131.40
32131.4,29793.80
29793.8,30837.20
30837.2,31785.40
31785.4,31518.60
31518.6,31394.00
31394,31840.50
31840.5,32820.70
32820.7,32728.10
32728.1,33113.00
33113,34227.70
34227.7,33510.60
33510.6,33797.40
33797.4,32866.30
32866.3,33867.80
33867.8,34225.60
34225.6,33687.80
33687.8,35298.20
35298.2,34742.80
34742.8,33813.40
33813.4,33543.60
33543.6,35026.90
35026.9,35834.70
35834.7,34475.90
34475.9,34678.50
34678.5,32243.40
32243.4,31594.00
31594,34665.80
34665.8,33674.30
33674.3,32496.40
32496.4,31692.00
31692,35595.80
35595.8,35513.40
35513.4,35749.40
35749.4,38052.00
38052,38336.00
38336,40156.10
40156.1,40529.40
40529.4,39022.90
39022.9,35467.50
35467.5,37314.60
37314.6,36649.40
36649.4,37332.20
37332.2,33382.90
33382.9,33578.00
33578,35815.40
35815.4,35520.00
35520,36851.30
36851.3,39187.30
39187.3,37555.80
37555.8,36687.60
