Open,High,Low,Vol,Change,PriceTomorow
"41,829.10","43,090.20","41,287.60",61781,0.0215,"43,901.00"
"41,848.90","42,243.80","39,697.00",85501,-0.0004,"42,733.20"
"41,681.20","42,764.40","41,260.90",37511,0.0042,"41,832.20"
"41,551.30","42,304.40","40,574.30",52541,0.003,"41,848.30"
"43,097.90","43,127.70","40,810.00",88361,-0.036,"41,672.00"
"43,431.60","43,772.30","42,481.10",63081,-0.0076,"41,546.70"
"45,833.10","47,019.40","42,535.10",83741,-0.0526,"43,097.50"
"46,435.70","47,505.40","45,602.10",55591,-0.0128,"43,425.90"
"47,293.90","47,556.00","45,704.00",41061,-0.0186,"45,837.30"
"47,738.70","47,944.90","46,718.20",27021,-0.0089,"46,430.20"
"46,217.50","47,917.60","46,217.50",31241,0.0329,"47,311.80"
"47,123.30","48,553.90","45,693.60",58181,-0.0192,"47,738.00"
"46,470.70","47,901.40","46,003.00",60961,0.0142,"46,219.50"
"47,548.40","48,121.70","46,127.80",63921,-0.0228,"47,123.30"
"50,703.40","50,703.80","47,345.70",74391,-0.0618,"46,461.70"
"50,783.60","52,016.30","50,459.00",43901,-0.002,"47,545.20"
"50,404.00","51,247.00","49,527.00",32341,0.0074,"50,678.20"
"50,789.60","51,140.20","50,196.80",26671,-0.0075,"50,779.90"
"50,807.40","51,795.30","50,428.40",45971,-0.0003,"50,406.40"
"48,599.60","51,355.60","48,053.40",56241,0.0453,"50,786.10"
"48,898.70","49,540.30","48,449.70",40891,-0.0062,"50,801.00"
"46,900.10","49,306.10","46,654.00",57881,0.0428,"48,599.70"
"46,703.40","47,488.90","45,577.30",57531,0.0041,"48,902.00"
"46,855.70","48,270.20","46,438.40",44051,-0.0032,"46,895.20"
"46,171.80","47,330.20","45,513.40",36931,0.0148,"46,704.50"
"47,630.40","47,997.20","45,523.80",67501,-0.0306,"46,856.20"
"48,876.60","49,387.80","47,543.90",48201,-0.0254,"46,172.20"
"48,366.20","49,477.90","46,572.60",80281,0.0104,"47,628.20"
"46,709.80","48,635.00","46,338.30",62541,0.0356,"48,871.50"
"50,075.90","50,196.10","45,848.20",80371,-0.0674,"48,366.50"
"49,332.50","50,779.20","48,670.50",40301,0.0155,"46,703.60"
"47,138.40","49,487.00","46,834.00",45231,0.0462,"50,081.00"
"47,591.70","49,974.80","47,007.10",68061,-0.0097,"49,314.50"
"50,477.60","50,790.20","47,341.90",58691,-0.057,"47,137.20"
"50,596.60","51,204.70","48,700.70",55591,-0.0024,"47,596.60"
"50,547.40","51,918.60","50,070.90",56291,0.0007,"50,473.90"
"49,412.10","50,913.30","47,237.90",89681,0.0234,"50,595.20"
"49,196.40","49,689.30","47,797.80",72031,0.0043,"50,562.10"
"53,620.70","53,847.20","42,587.80",168001,-0.0827,"49,405.50"
"56,495.20","57,543.60","52,008.90",89201,-0.0507,"49,195.20"
"57,207.80","57,377.50","55,807.90",54941,-0.0125,"53,631.50"
"56,891.70","59,064.30","56,496.50",66751,0.0058,"56,496.00"
"57,795.20","59,174.40","55,936.90",73661,-0.0158,"57,210.30"
"57,288.10","58,855.20","56,726.70",58651,0.0088,"56,882.90"
"54,758.00","57,392.30","53,448.30",49281,0.0461,"57,794.80"
"53,747.20","55,280.30","53,654.30",40711,0.0193,"57,291.50"
"58,937.30","59,151.10","53,533.50",104031,-0.0883,"54,765.90"
"57,167.10","59,387.30","57,029.80",56791,0.0308,"53,730.90"
"57,559.40","57,697.40","55,910.60",56681,-0.007,"58,935.10"
"56,304.80","57,855.10","55,542.50",72481,0.0225,"57,171.70"
"58,719.70","59,288.30","55,656.80",76451,-0.041,"57,573.20"
"59,724.00","60,002.60","58,528.30",40981,-0.0168,"56,308.80"
"58,080.80","59,854.60","57,435.30",44531,0.0281,"58,714.30"
"56,908.30","58,335.90","55,626.30",74441,0.0198,"59,717.60"
"60,368.20","60,936.90","56,524.40",100371,-0.0565,"58,083.40"
"60,074.20","60,814.50","58,531.90",73931,0.0046,"56,955.30"
"63,605.10","63,605.60","58,655.90",115361,-0.0552,"60,367.80"
"65,514.90","66,311.20","63,439.50",53531,-0.0292,"60,089.10"
"64,397.20","65,508.20","63,608.30",33981,0.0172,"63,597.90"
"64,133.30","64,906.00","63,381.40",30341,0.0041,"65,508.20"
"64,782.60","65,449.70","62,309.70",63271,-0.0104,"64,398.60"
"64,922.80","65,583.30","64,121.90",50371,-0.0019,"64,134.50"
"66,942.60","68,990.60","62,951.30",96211,-0.0295,"64,806.70"
"67,528.70","68,493.30","66,334.90",66131,-0.0092,"64,932.60"
"63,276.40","67,763.30","63,276.40",81081,0.0672,"66,904.40"
"61,483.80","63,273.20","61,347.20",34341,0.0291,"67,527.90"
"60,973.20","61,543.20","60,093.60",34891,0.0084,"63,273.20"
"61,411.50","62,560.30","60,742.40",44461,-0.0071,"61,483.90"
"62,915.40","63,077.60","60,742.90",49911,-0.0239,"60,974.30"
"63,223.50","63,508.60","60,883.00",61051,-0.0048,"61,412.60"
"60,912.20","64,256.40","60,651.50",65261,0.0379,"62,918.50"
"61,310.10","62,430.10","59,612.70",61211,-0.0064,"63,221.70"
"61,842.20","62,393.70","60,005.70",50061,-0.0086,"60,915.30"
"62,245.00","62,338.50","60,786.00",40511,-0.0065,"61,309.60"
"60,579.90","62,952.20","60,322.20",63391,0.0274,"61,840.10"
"58,437.20","62,251.30","58,128.10",88471,0.0367,"62,242.80"
"60,312.50","61,452.90","58,112.60",88111,-0.0311,"60,582.50"
"63,067.50","63,275.10","59,907.30",57131,-0.0437,"58,438.10"
"60,864.30","63,694.80","60,655.80",51061,0.0362,"60,310.80"
"61,308.20","61,469.90","59,523.70",42671,-0.0073,"63,067.00"
"60,693.20","61,728.70","59,738.30",37051,0.0103,"60,866.50"
"62,200.80","63,699.70","60,055.70",75691,-0.0244,"61,312.50"
"66,004.60","66,616.90","62,092.10",105381,-0.0571,"60,690.30"
"64,276.90","66,967.10","63,543.70",79871,0.0265,"62,210.20"
"62,030.20","64,454.00","61,451.00",80161,0.0358,"65,979.10"
"61,525.80","62,623.60","60,026.90",80151,0.0086,"64,278.50"
"60,865.50","61,651.40","59,143.40",53391,0.0109,"62,056.30"
"61,669.20","62,329.20","60,161.90",49931,-0.0132,"61,527.50"
"57,348.20","62,892.80","56,874.80",121481,0.0754,"60,861.10"
"57,370.40","58,506.50","56,866.80",59841,-0.0006,"61,672.50"
"56,014.50","57,697.40","54,314.40",73621,0.0244,"57,345.80"
"57,480.60","57,635.70","54,155.40",74851,-0.0254,"57,380.10"
"54,686.90","57,814.10","54,457.80",73841,0.051,"56,015.90"
"54,942.50","56,432.20","54,100.80",104431,-0.0046,"57,477.30"
"53,924.10","55,430.80","53,711.70",64651,0.0191,"54,687.70"
"53,785.50","55,977.90","53,659.30",64051,0.0024,"54,942.50"
"55,325.20","55,325.60","53,476.40",75681,-0.0278,"53,914.70"
"51,470.00","55,676.10","50,439.50",116261,0.0749,"53,783.90"
"49,229.50","51,872.40","49,060.10",76631,0.0455,"55,323.20"
"48,200.40","49,481.70","46,958.60",66921,0.0213,"51,469.30"
"47,665.40","49,165.20","47,123.00",42411,0.0112,"49,227.30"
