PM10,1O2,CO,O3,NO2,OutputY
38.62,31.80,0.37,30.94,14.47,1
8.84,31.69,0.35,27.23,9.84,1
,27.78,0.20,17.26,10.20,1
9.46,26.53,0.25,21.89,6.27,1
10.87,31.30,0.37,20.61,12.37,1
13.46,31.28,0.30,22.31,7.53,1
11.88,30.59,0.27,21.44,5.91,1
12.46,31.87,0.26,23.89,6.04,1
23.36,31.71,0.45,18.64,2.20,1
23.64,33.25,0.39,23.21,0.03,1
5.46,30.78,0.23,17.50,0.01,1
2.82,30.27,0.24,15.52,0.04,1
6.45,29.92,0.23,17.71,0.59,1
3.66,29.74,0.20,17.54,0.77,1
0.01,30.21,0.04,20.26,3.39,1
6.01,29.66,0.39,21.00,0.02,1
23.95,31.76,0.29,25.29,0.57,1
29.11,32.56,0.48,26.89,0.36,1
